ID	CorrectAnswer
779	C  
781	A,C  
782	C  
783	B  
784	C  
785	B  
786	A  
787	A,C,D  
788	A  
789	C  
790	B,C  
791	B  
792	C  
793	A,B,D  
794	B  
795	B  
796	B  
797	C  
798	A,B,D
824	C  
825	C  
826	C  
827	C  
828	D  
829	C  
830	C  
831	B  
832	C  
833	D  
834	C  
835	A  
836	B  
837	B  
838	C  
839	C  
840	B  
841	C  
842	B  
843	B  
844	C  
845	B  
846	C  
847	C  
848	A  
849	C  
850	B  
851	C  
852	D  
853	C  
854	B  
855	C  
856	C  
857	D  
858	C  
859	A  
860	C  
861	B  
862	A  
863	D  
864	C  
865	B  
866	A  
867	C  
868	C  
869	A  
870	C  
871	C  
872	B  
873	C  
875	A  
877	A  
878	C  
879	B  
880	B  
881	A,B,D  
882	B  
883	A,B,D  
884	B  
886	A,B  
887	B  
888	A,C,D  
889	B  
891	C  
892	A,B,C  
893	A,C  
894	A  
895	A,B,C,D  
896	A,B,C  
897	A,B,C  
898	A,B  
899	A,B,C  
900	B,C  
901	A,B,D  
902	A  
903	B,C,D  
904	A  
905	C  
906	C  
907	C  
908	A,B,D  
909	A,B,D  
910	A,D  
911	A,B,D  
912	A,B,D  
913	A,B,C  
914	A,C,D  
915	A,C  
916	A,B,D  
917	A,B,D  
918	A  
919	A,B,C  
920	A,B,C  
923	A,B,D  
924	A,B,C  
926	A,C  
927	A,B,D  
928	A,B,D  
929	 A  
930	 A  
931	 A,B,C  
932	 A,B,D  
933	 A,B  
934	 A,B  
935	 A,B  
937	 A,B,C  
938	 A,B,C  
939	 A  
940	 A  
941	 A,B  
942	 A,B  
943	 A,B,C  
945	 A  
946	 A,B,D  
947	 A  
948	 A,B,D  
949	 A  
950	 A,B,C  
952	 A,B,C  
953	 A  
954	 A  
956	 A,B  
957	 A,B  
958	 A,B,D  
959	 A  
960	 A,B,C  
961	 B,C  
962	 A,B  
963	 A,B  
964	 A,B  
965	 A,B,C  
966	 A  
967	 A,B,C  
968	 A  
969	 A,B,C  
970	 A,B,C  
971	 A,B  
972	 A,B,C  
974	 A,B,C  
975	 A,B,C  
976	 A,B,C  
977	 A,B,C  
978	 A,B,C  
979	 B  
980	 C  
981	 B  
982	 B  
983	 A,B  
984	 C  
985	 B  
986	 C  
987	 B  
989	 A  
990	 A,C  
991	 C  
992	 B  
993	 B  
994	 D  
995	 B  
997	 D  
998	 B  
999	 A,B,D  
1000	 C  
1001	 A,C  
1002	 A  
1004	A
1005	C
1006	B
1007	C
1008	B
1009	B,C
1010	C
1011	A,B,C
1012	A,B
1013	B
1014	B
1016	A,B,C
1018	C
1019	A
1020	A
1022	A
1023	A
1024	A,D
1025	A
1026	A,B,C
1027	A
1028	A
1029	B  
1030	A  
1031	C  
1032	B  
1033	A  
1034	A  
1035	B  
1036	C  
1037	A  
1038	A  
1039	A  
1041	B  
1042	A  
1043	C  
1044	A  
1045	B  
1046	C  
1047	A  
1048	A  
1049	A,B,C  
1050	A,B  
1051	A  
1052	A  
1053	A  
1079	 A  
1080	 B  
1081	 A  
1083	 C  
1084	 B  
1085	 D  
1086	 B  
1087	 B  
1088	 B  
1089	 C  
1090	 C  
1091	 A  
1092	 B  
1093	 C  
1094	 A  
1095	 B  
1096	 B  
1097	 A  
1098	 C  
1099	 B  
1100	 B  
1101	 C  
1102	 B  
1103	 A  
1104	 B  
1105	 C  
1106	 B  
1107	 B  
1108	 B  
1109	 B  
1110	 A,B,D  
1111	 B  
1112	 C  
1113	 A  
1114	 C  
1115	 B  
1116	 A,C,D  
1117	 A  
1118	 A  
1119	 A,C,D  
1120	 B  
1121	 C,D  
1122	 A,B  
1123	 A  
1124	 C  
1125	 A,B  
1126	 C  
1127	 A  
1128	 A  
1144	 A  
1145	 A  
1146	 B  
1147	 A  
1148	 B  
1149	 C  
1150	 C  
1151	 B  
1152	 A  
1153	 B  
1154	 B  
1155	 C  
1156	 B  
1157	 A  
1158	 C  
1159	 B  
1160	 B  
1161	 C  
1162	 B  
1163	 B  
1164	 C  
1166	 C  
1167	 C  
1168	 A  
1169	 C  
1170	 C  
1171	 B  
1172	 C  
1173	 B  
1174	 B  
1175	 C  
1176	 B  
1177	 C  
1178	 B  
1179	 C  
1180	 B  
1181	 B  
1182	 C  
1183	 B  
1185	 C  
1186	 C  
1187	 C  
1188	 A  
1189	 C  
1190	 B  
1191	 A  
1192	 B  
1193	 B  
1194	 B  
1195	 C  
1196	 B  
1197	 C  
1198	 A  
1199	 B  
1200	 C  
1201	 B  
1202	 A  
1203	 B  
1204	 C  
1205	 C  
1206	 B  
1207	 B  
1208	 A  
1209	 B  
1210	 A  
1211	 D  
1212	 B  
1213	 A  
1214	 B  
1215	 A  
1216	 B  
1218	 A  
1219	 A  
1220	 C  
1221	 D  
1222	 B  
1223	 B  
1224	 B  
1225	 C  
1226	 A  
1227	 C  
1228	 B  
1230	 A  
1231	 B  
1232	 C  
1233	 D  
1234	 C  
1235	 B  
1236	 C  
1237	 B  
1239	 B  
1240	 A  
1241	 B  
1242	 B  
1243	 B  
1245	 A  
1246	 A  
1247	 A  
1248	 B  
1249	 B  
1250	 A  
1251	 A  
1252	 A  
1253	 B  
1254	 A  
1255	 A  
1256	 A  
1257	 A  
1258	 A  
1259	 C  
1260	 A  
1261	 B  
1262	 A  
1263	 B  
1264	 A  
1265	 A  
1266	 C  
1267	 A  
1268	 A  
1269	 A  
1270	 C  
1271	 B  
1272	 B  
1273	 B  
1274	 A,C  
1275	 A,B,D  
1276	 A,B,D  
1277	 A,B,C  
1278	 A,B,C  
1279	 A,B,D  
1280	 A,C  
1281	 A,B,C  
1282	 A,B,C  
1284	 A,B,C  
1285	 A,B,C  
1286	 A,C  
1287	 A,B,D  
1288	 A,B,C  
1289	 A,B,D  
1290	 A,B  
1291	 A  
1292	 A  
1293	 A,B,D  
1294	 B,C  
1295	 A,B,D  
1296	 A,B,C  
1297	 A,B  
1298	 A,B,D  
1299	 A,B,D  
1300	 A,C  
1301	 A,B  
1302	 A  
1303	 B  
1304	 B  
1305	 A  
1306	 A  
1308	 A  
1309	 A,C  
1310	 A,B,C  
1311	 A  
1312	 A,B,C  
1313	 A,B,D  
1314	 A  
1315	 A,B,C  
1316	 B  
1317	 A,B,C  
1318	 A  
1320	 A  
1321	 A,B,C  
1322	 A  
1323	 A  
1324	 A  
1325	 A  
1326	 A,C  
1327	 A  
1328	 A  
1329	 A,B  
1330	 A,C  
1331	 A,B,D  
1332	 A,B,D  
1333	 A,B,C  
1334	 A  
1335	 A,B,D  
1336	 A,B  
1337	 A  
1338	 A,B,C  
1339	 A,C  
1340	 A,B  
1341	 A,B,C  
1342	 A,C  
1343	 A,B,D  
1344	 A,B  
1345	 A,B,D  
1346	 A,B,D  
1347	 A,B,C  
1348	 A  
1349	 A,B,C  
1350	 A,B,C  
1351	 A,B,C  
1352	 A,B,C  
1353	 A,D  
1354	 A  
1355	 B  
1356	 A,B,C  
1357	 A  
1358	 A  
1359	 A,B,C  
1360	 A,B,C  
1361	 A  
1362	 A  
1363	 A,B,C,D  
1364	 A  
1365	 A,B,C  
1366	 A  
1367	 A  
1368	 A  
1369	 A,C  
1370	 A  
1371	 A  
1372	 A,B  
1373	 A  
1374	 A,C,D  
1375	 A,B,D  
1376	 A,B,C  
1377	 A  
1378	 A,B,D  
1379	 A,B  
1380	 A  
1381	 A,B,C  
1382	 A,C  
1383	 A,B  
1384	 A,B,C  
1385	 A,B  
1386	 A,B,D  
1387	 A  
1388	 A,B  
1389	 A,B,D  
1390	 A,B,C  
1391	 A  
1392	 A,B,C  
1393	 A,B,C  
1394	 A,B,C  
1395	 A,B,C  
1396	 A,D  
1397	 A  
1398	 A,B  
1399	 A  
1400	 A,B,C  
1401	 A  
1402	 A  
1403	 A  
1404	 A  
1405	 A  
1406	 A,B  
1407	 A,B  
1408	 A  
1409	 A  
1410	 A,B,D  
1411	 A  
1412	 A  
1413	 A  
1414	 A,B,D  
1415	 A,C  
1416	 A  
1417	 A,C,D  
1418	 A  
1419	 A  
1420	 A,C  
1421	 A,B,D  
1422	 A  
1423	 A  
1474	A,B,C  
1475	A,B,C  
1476	A,B,D  
1477	A,B,D  
1478	A,C  
1479	A,B,D  
1480	A,B,C,D  
1481	A,B,D  
1482	A,C,D  
1483	A,C  
1484	A,D  
1485	A,B,D  
1486	A,B  
1487	A,C  
1488	A,C,D  
1489	A,C  
1490	A,C  
1491	A,B,C  
1492	A,B,D  
1493	A,C,D  
1494	A,B,D  
1495	A,C,D  
1496	C  
1497	A  
1498	A,B,C  
1500	A,B,C  
1501	A  
1502	A,B,C  
1503	A,C  
1505	A  
1506	A,C  
1507	A,B,D  
1508	A,B,D  
1509	A,B,D  
1510	A,C  
1511	A,B,D  
1512	A  
1513	A,B,C,D  
1514	A,B,C  
1515	A,C  
1516	A,B,D  
1517	A,B,D  
1519	A,B,C,D  
1520	A,C  
1521	A,B,C  
1522	A,D  
1523	A,C  
1524	A  
1525	A,B,C  
1526	A,B,D  
1527	A,B,D  
1528	A,C  
1529	A,C  
1530	A,C  
1531	A,D  
1532	A,C,D  
1533	A,C  
1534	A,C  
1535	A,C  
1536	A,B,D  
1537	A,B,D  
1538	A,C,D  
1539	A,B,D  
1540	A,B,D  
1541	A,B,D  
1542	A,B,D  
1543	A,B,D  
1544	A,B,D  
1545	A,C,D  
1546	A,B,D  
1547	A,B,C  
1548	A,C,D  
1549	A,C  
1550	A,B,D  
1551	A,C,D  
1552	A,B,D  
1553	A,B,D  
1554	A
1555	A,B,D
1556	A
1557	A
1558	A
1559	A
1560	A
1561	A
1562	A
1563	A
1564	A
1565	A
1566	A
1567	A
1568	A
1569	A
1570	A
1571	A
1572	A
1573	A
1574	A
1577	A
1579	A
1580	A
1581	A
1582	A
1583	A
1584	A
1585	A
1586	A
1587	A
1588	A
1589	A
1590	A
1591	A
1592	A
1593	A
1594	A
1595	A
1596	A
1597	A
1598	A
1599	A
1600	A
1601	A
1602	A
1603	A
1604	A
1607	B
1610	B
1612	B
1613	B
1622	A,B
1623	A
1624	A
1625	A
1626	A
1627	A
1628	A
1629	A
1630	A
1631	A
1632	A
1633	A
1634	A
1635	A
1636	A
1637	A
1638	A
1639	A
1640	A
1641	A
1642	A
1643	A
1644	A
1645	A
1647	A
1648	A
1649	A
1650	A
1651	A
1652	A
1653	A
1654	A
1655	A
1656	A
1658	A
1659	A
1660	A
1661	A
1662	A
1663	A
1664	A
1665	A
1666	A
1667	A
1668	A
1669	A
1670	A
1671	A
1672	A
1673	A
1674	B
1675	C
1676	A
1677	B
1678	A
1679	B
1680	B
1681	C
1682	A
1684	B
1685	B
1686	A
1688	B
1689	B
1690	B
1691	A
1692	C
1693	B
1694	B
1695	A
1696	B
1697	B
1698	C
1699	B
1700	C
1701	B
1702	C
1703	C
1704	B
1705	B
1706	A
1707	C
1708	C
1709	B
1712	B
1713	C
1714	A
1715	B
1716	C
1717	B
1718	B
1720	B
1721	B
1723	B
1724	B
1725	A
1726	C
1727	B
1728	B
1729	C
1730	C
1731	B
1732	B
1733	A
1734	B
1735	A
1736	B
1737	B
1738	B
1739	B
1740	C
1741	A
1742	C
1743	B
1744	B
1745	A
1746	B
1747	A
1748	B
1749	A
1750	C
1751	B
1752	C
1753	B
1754	B
1755	B
1756	B
1757	B
1759	C
1760	A
1761	B
1762	B
1763	C
1764	A
1766	B
1767	B
1768	B
1769	B
1771	B
1772	A
1773	A
1774	A
