ID	ChoiceA	ChoiceB	ChoiceC	ChoiceD
45	Pattern definition A	Movement definition B	The definition C	Technology definition D
46	Day definition A	Leader definition B	Into definition C	Sense definition D
47	Idea definition A	Edge definition B	Four definition C	Some definition D
48	Seem definition A	Peace definition B	Song definition C	Safe definition D
49	Huge definition A	Front definition B	Pass definition C	Include definition D
50	Behavior definition A	Thing definition B	Ask definition C	Minute definition D
51	Item definition A	Mouth definition B	Cover definition C	Imagine definition D
52	Whether definition A	Brother definition B	Vote definition C	Manager definition D
53	Determine definition A	Boy definition B	Them definition C	Money definition D
54	Church definition A	Bank definition B	Plan definition C	Someone definition D
55	Newspaper definition A	Course definition B	Go definition C	Its definition D
56	To definition A	Laugh definition B	Through definition C	Site definition D
57	Future definition A	Rather definition B	Anyone definition C	Heart definition D
58	Expect definition A	Ability definition B	House definition C	Sort definition D
59	Bring definition A	Major definition B	Central definition C	Paper definition D
60	Church definition A	Yet definition B	Other definition C	Generation definition D
61	Yes definition A	That definition B	Work definition C	Short definition D
62	Have definition A	Tonight definition B	Order definition C	Third definition D
63	Else definition A	May definition B	Three definition C	Life definition D
64	With definition A	Student definition B	Democratic definition C	Day definition D
65	Work definition A	Left definition B	Same definition C	Debate definition D
66	Something definition A	Travel definition B	How definition C	Enjoy definition D
67	Yeah definition A	Themselves definition B	Together definition C	Of definition D
68	Nice definition A	Economic definition B	Budget definition C	Professional definition D
69	Black definition A	Most definition B	Long definition C	Spend definition D
70	Case definition A	Far definition B	Unit definition C	Notice definition D
71	Toward definition A	Claim definition B	Figure definition C	Which definition D
72	How definition A	Compare definition B	Deal definition C	Successful definition D
73	Join definition A	Easy definition B	Shoulder definition C	Evidence definition D
74	Thank definition A	Another definition B	Better definition C	Body definition D
75	Off definition A	Table definition B	Son definition C	Him definition D
76	Call definition A	Window definition B	Activity definition C	Certain definition D
77	Whether definition A	Standard definition B	Manager definition C	Hand definition D
78	Art definition A	Movie definition B	Throw definition C	Site definition D
79	Mr definition A	Realize definition B	Research definition C	Back definition D
80	Level definition A	Even definition B	Leg definition C	Make definition D
81	Let definition A	Time definition B	Them definition C	Minute definition D
82	Newspaper definition A	Check definition B	Anyone definition C	Wide definition D
83	Bit definition A	Gas definition B	Beautiful definition C	Possible definition D
84	Career definition A	Bed definition B	Including definition C	Man definition D
85	Site definition A	Point definition B	Myself definition C	Nice definition D
86	Floor definition A	Research definition B	Gas definition C	Special definition D
87	Writer definition A	Everyone definition B	Short definition C	Weight definition D
88	Someone definition A	Must definition B	Which definition C	Of definition D
89	Believe definition A	Similar definition B	State definition C	Father definition D
90	Reduce definition A	Best definition B	Along definition C	Most definition D
91	Behind definition A	Charge definition B	Writer definition C	Congress definition D
92	Bring definition A	Society definition B	Face definition C	Try definition D
93	Life definition A	Last definition B	Lead definition C	Organization definition D
94	Clearly definition A	Spring definition B	Her definition C	Gas definition D
95	Still definition A	Son definition B	Effort definition C	Onto definition D
96	Claim definition A	Term definition B	Throughout definition C	Republican definition D
97	Power definition A	Up definition B	Avoid definition C	Can definition D
98	Product definition A	Skill definition B	Environmental definition C	Protect definition D
99	Yes definition A	Work definition B	Fast definition C	Move definition D
100	Scientist definition A	Value definition B	Head definition C	Cover definition D
101	Finish definition A	Each definition B	Car definition C	Meet definition D
102	From definition A	Cost definition B	Audience definition C	Just definition D
103	Notice definition A	South definition B	Threat definition C	International definition D
104	Administration definition A	Myself definition B	Center definition C	Present definition D
105	Office definition A	Now definition B	About definition C	Politics definition D
106	Away definition A	Year definition B	Such definition C	Movement definition D
107	Light definition A	Especially definition B	Someone definition C	Strong definition D
108	Politics definition A	Store definition B	Rise definition C	Explain definition D
109	Technology definition A	Bit definition B	Character definition C	While definition D
110	Foot definition A	Son definition B	Possible definition C	Common definition D
111	Find definition A	Dark definition B	Teach definition C	Only definition D
112	Guess definition A	Event definition B	Rule definition C	Peace definition D
113	Draw definition A	Only definition B	Face definition C	Result definition D
114	Local definition A	Happy definition B	Late definition C	Pressure definition D
115	Time definition A	Stay definition B	Simple definition C	Store definition D
116	Strategy definition A	Win definition B	Yourself definition C	National definition D
117	Couple definition A	On definition B	Available definition C	Support definition D
118	Business definition A	Quality definition B	Including definition C	Your definition D
119	Mr definition A	Something definition B	Among definition C	Where definition D
120	Pick definition A	Girl definition B	Tell definition C	Soldier definition D
121	Might definition A	More definition B	True definition C	Pm definition D
122	Mother definition A	Anything definition B	Himself definition C	Suffer definition D
123	Economy definition A	Month definition B	Sister definition C	Sea definition D
124	Tough definition A	Compare definition B	Culture definition C	Forward definition D
125	End definition A	Main definition B	Whatever definition C	Might definition D
126	Half definition A	Throw definition B	Property definition C	Authority definition D
127	Help definition A	Democrat definition B	Season definition C	Live definition D
128	Name definition A	Song definition B	Write definition C	Establish definition D
129	Real definition A	Want definition B	Hour definition C	Lot definition D
130	Fall definition A	Million definition B	Quality definition C	Remember definition D
131	Top definition A	Fact definition B	Teach definition C	Ball definition D
132	Prevent definition A	Which definition B	Make definition C	Maybe definition D
133	Tax definition A	Analysis definition B	Page definition C	Science definition D
134	Bed definition A	Station definition B	North definition C	Suffer definition D
135	Lawyer definition A	Born definition B	Who definition C	Time definition D
136	Order definition A	Scene definition B	Necessary definition C	Call definition D
137	Find definition A	Shake definition B	Player definition C	True definition D
138	Chance definition A	Story definition B	Ahead definition C	Claim definition D
139	Forget definition A	Interview definition B	Sea definition C	Worry definition D
140	Behind definition A	Now definition B	Concern definition C	Executive definition D
141	Indicate definition A	Defense definition B	Itself definition C	Student definition D
142	Than definition A	Nor definition B	Accept definition C	Edge definition D
143	Cultural definition A	Smile definition B	Item definition C	Forward definition D
144	Movie definition A	Believe definition B	Hour definition C	Movement definition D
145	Design definition A	Herself definition B	Water definition C	Professional definition D
146	Environmental definition A	Yeah definition B	People definition C	Keep definition D
147	Key definition A	Age definition B	Body definition C	Call definition D
148	Moment definition A	Congress definition B	Rich definition C	Defense definition D
149	Remain definition A	Quality definition B	Because definition C	Special definition D
150	Read definition A	Scientist definition B	College definition C	Sure definition D
151	Your definition A	Writer definition B	Itself definition C	Sure definition D
152	Who definition A	Us definition B	Tree definition C	Their definition D
153	Degree definition A	Pass definition B	Different definition C	Key definition D
154	Off definition A	Last definition B	Probably definition C	Like definition D
155	Detail definition A	Sister definition B	Say definition C	Figure definition D
156	Money definition A	Have definition B	Democrat definition C	One definition D
157	Wind definition A	Number definition B	Particularly definition C	Wrong definition D
158	Major definition A	Air definition B	Hospital definition C	Who definition D
159	Serve definition A	Only definition B	Child definition C	Hit definition D
160	Change definition A	Budget definition B	You definition C	Into definition D
161	Time definition A	Office definition B	Five definition C	Official definition D
162	Stay definition A	Large definition B	Prevent definition C	Condition definition D
163	Rise definition A	Better definition B	Wind definition C	Certain definition D
164	Year definition A	Level definition B	Outside definition C	Democratic definition D
165	Perform definition A	Theory definition B	Talk definition C	Young definition D
166	Class definition A	Bad definition B	Class definition C	Example definition D
167	Lay definition A	Maintain definition B	Either definition C	Market definition D
168	Buy definition A	Pressure definition B	City definition C	Charge definition D
169	Charge definition A	Customer definition B	Pick definition C	Left definition D
170	Continue definition A	Century definition B	Finish definition C	But definition D
171	Item definition A	Start definition B	Subject definition C	Debate definition D
172	Effect definition A	Hit definition B	Everybody definition C	Draw definition D
173	Difference definition A	Case definition B	Head definition C	Bank definition D
174	Think definition A	Yes definition B	Degree definition C	Child definition D
175	Wide definition A	Up definition B	Rich definition C	When definition D
176	Medical definition A	Beautiful definition B	Their definition C	Study definition D
177	Mother definition A	Your definition B	Agree definition C	Long definition D
178	Religious definition A	Hard definition B	Him definition C	Executive definition D
179	Live definition A	Sometimes definition B	Let definition C	May definition D
180	Cultural definition A	Score definition B	Front definition C	Tax definition D
181	Must definition A	Address definition B	Around definition C	Tonight definition D
182	Bed definition A	Yeah definition B	Race definition C	Character definition D
183	Position definition A	Shoulder definition B	College definition C	Figure definition D
184	Trouble definition A	State definition B	Poor definition C	Its definition D
185	South definition A	Conference definition B	Cover definition C	Six definition D
186	Item definition A	Then definition B	Senior definition C	Before definition D
187	Blood definition A	Boy definition B	The definition C	Conference definition D
188	Role definition A	Forward definition B	Important definition C	Her definition D
189	Fill definition A	Game definition B	Nor definition C	Too definition D
190	Soldier definition A	Describe definition B	Necessary definition C	Call definition D
191	Community definition A	Radio definition B	Boy definition C	Beautiful definition D
192	Because definition A	Together definition B	Her definition C	Inside definition D
193	Recently definition A	Power definition B	Full definition C	But definition D
194	Himself definition A	Mission definition B	Player definition C	Vote definition D
195	However definition A	Month definition B	Thing definition C	How definition D
196	Near definition A	Evidence definition B	Trade definition C	Believe definition D
197	Perhaps definition A	Couple definition B	Easy definition C	Amount definition D
198	Tell definition A	Sure definition B	Mr definition C	Fly definition D
199	Box definition A	Crime definition B	Star definition C	At definition D
200	Of definition A	Experience definition B	Board definition C	Evening definition D
201	Near definition A	While definition B	Eat definition C	Manage definition D
202	Ever definition A	Coach definition B	Box definition C	Month definition D
203	Its definition A	With definition B	There definition C	Practice definition D
204	Data definition A	Avoid definition B	Send definition C	They definition D
205	Arm definition A	Public definition B	General definition C	Rather definition D
206	Hundred definition A	Factor definition B	Whose definition C	Analysis definition D
207	Car definition A	Agree definition B	Other definition C	Result definition D
208	Upon definition A	Responsibility definition B	Top definition C	Out definition D
209	Chair definition A	Crime definition B	Work definition C	Like definition D
210	Teach definition A	Court definition B	Wish definition C	Key definition D
211	Rather definition A	Again definition B	Course definition C	Name definition D
212	Condition definition A	Risk definition B	Describe definition C	Some definition D
213	Every definition A	Better definition B	Shoulder definition C	Consumer definition D
214	Short definition A	Piece definition B	Source definition C	Tend definition D
215	Wall definition A	Determine definition B	Door definition C	Hit definition D
216	Party definition A	Book definition B	Nice definition C	Man definition D
217	Easy definition A	Dog definition B	Whatever definition C	Middle definition D
218	Natural definition A	Effort definition B	Cause definition C	Tax definition D
219	Western definition A	Leave definition B	Through definition C	Pull definition D
220	Sit definition A	No definition B	Always definition C	Value definition D
221	Around definition A	Finish definition B	Certain definition C	Result definition D
222	Anything definition A	Happen definition B	President definition C	Manage definition D
223	Clearly definition A	Billion definition B	Meeting definition C	Player definition D
224	Better definition A	Land definition B	Federal definition C	Professional definition D
225	Room definition A	Catch definition B	What definition C	Along definition D
226	Control definition A	Option definition B	Place definition C	Owner definition D
227	Defense definition A	Cover definition B	Become definition C	Market definition D
228	Fast definition A	First definition B	Heavy definition C	Trial definition D
229	Consider definition A	Century definition B	Choose definition C	Financial definition D
230	Raise definition A	Director definition B	Western definition C	Effort definition D
231	Today definition A	Positive definition B	Finish definition C	Speech definition D
232	Watch definition A	Item definition B	Help definition C	Where definition D
233	After definition A	Be definition B	College definition C	Film definition D
234	List definition A	Cost definition B	Involve definition C	Future definition D
235	Beyond definition A	Partner definition B	Picture definition C	Civil definition D
236	Lead definition A	Indicate definition B	Budget definition C	Focus definition D
237	Road definition A	Because definition B	Practice definition C	Peace definition D
238	Guy definition A	Treat definition B	Family definition C	Probably definition D
239	Evening definition A	Mouth definition B	Thought definition C	Indeed definition D
240	Many definition A	Both definition B	Knowledge definition C	Fine definition D
241	Look definition A	Treatment definition B	Successful definition C	Although definition D
242	Million definition A	Wish definition B	Former definition C	Story definition D
243	Standard definition A	Style definition B	Case definition C	Person definition D
244	Just definition A	Decide definition B	Author definition C	Cup definition D
245	Similar definition A	Visit definition B	Walk definition C	Under definition D
246	Present definition A	Sing definition B	Moment definition C	Collection definition D
247	Whatever definition A	Far definition B	Discover definition C	Sometimes definition D
248	Value definition A	International definition B	Here definition C	Week definition D
249	Real definition A	Material definition B	Newspaper definition C	Sound definition D
250	Arrive definition A	Teach definition B	See definition C	Himself definition D
251	Somebody definition A	Wonder definition B	Age definition C	Ready definition D
252	Fund definition A	Lose definition B	Easy definition C	Hot definition D
253	Drug definition A	Sister definition B	I definition C	Idea definition D
254	Power definition A	Hundred definition B	Walk definition C	Federal definition D
255	Citizen definition A	Call definition B	Service definition C	Recent definition D
256	Loss definition A	Under definition B	Word definition C	Certainly definition D
257	Film definition A	Today definition B	Street definition C	Each definition D
258	Yourself definition A	Wind definition B	Son definition C	Financial definition D
259	Head definition A	Wait definition B	Institution definition C	Respond definition D
260	Style definition A	Pattern definition B	However definition C	Improve definition D
261	City definition A	Gun definition B	Have definition C	Pass definition D
262	Individual definition A	Building definition B	East definition C	Type definition D
263	Maybe definition A	History definition B	Two definition C	Along definition D
264	Respond definition A	Parent definition B	Century definition C	Particularly definition D
265	For definition A	Little definition B	Machine definition C	Fund definition D
266	Away definition A	Not definition B	All definition C	Student definition D
267	History definition A	Me definition B	Leader definition C	Let definition D
268	Travel definition A	Key definition B	Then definition C	Attorney definition D
269	Study definition A	Score definition B	Film definition C	Notice definition D
270	View definition A	Citizen definition B	Few definition C	Eight definition D
271	Chair definition A	Very definition B	Concern definition C	Condition definition D
272	Relationship definition A	Trip definition B	Process definition C	No definition D
273	Effect definition A	Though definition B	Gun definition C	Pm definition D
274	Answer definition A	Quality definition B	Pm definition C	Job definition D
275	New definition A	Pass definition B	Off definition C	Still definition D
276	Song definition A	Garden definition B	Onto definition C	Institution definition D
277	Certainly definition A	Summer definition B	Believe definition C	Pattern definition D
278	About definition A	Husband definition B	Speech definition C	There definition D
279	Art definition A	Never definition B	Ability definition C	Provide definition D
280	A definition A	Past definition B	Fine definition C	Skill definition D
281	Single definition A	Describe definition B	Center definition C	Model definition D
282	Soldier definition A	Capital definition B	Them definition C	Sell definition D
283	Carry definition A	Address definition B	Ask definition C	Across definition D
284	Everybody definition A	Better definition B	Huge definition C	Bed definition D
285	Treat definition A	Serve definition B	Amount definition C	Only definition D
286	Teacher definition A	Appear definition B	Fact definition C	End definition D
287	Center definition A	Possible definition B	Themselves definition C	Southern definition D
288	Cut definition A	Eight definition B	Upon definition C	Police definition D
289	Stage definition A	Save definition B	Need definition C	Right definition D
290	Design definition A	Make definition B	How definition C	Each definition D
291	These definition A	Seven definition B	These definition C	Who definition D
292	Arrive definition A	Memory definition B	Nation definition C	In definition D
293	Must definition A	Cup definition B	Easy definition C	Herself definition D
294	Writer definition A	Paper definition B	Blue definition C	Arm definition D
295	True definition A	Information definition B	Crime definition C	Maybe definition D
296	Everything definition A	Keep definition B	Receive definition C	Possible definition D
297	Camera definition A	Wear definition B	Protect definition C	Hundred definition D
298	Hundred definition A	Because definition B	Tell definition C	Artist definition D
299	Nation definition A	Visit definition B	White definition C	Large definition D
300	Its definition A	Education definition B	Beautiful definition C	Write definition D
301	Else definition A	Enjoy definition B	Technology definition C	Glass definition D
302	Add definition A	Season definition B	Student definition C	Return definition D
303	Statement definition A	Million definition B	Too definition C	Amount definition D
304	Size definition A	List definition B	Major definition C	Movement definition D
305	Feeling definition A	Safe definition B	Job definition C	Baby definition D
306	Draw definition A	Hair definition B	Factor definition C	Several definition D
307	Truth definition A	Occur definition B	Young definition C	Total definition D
308	Debate definition A	Hear definition B	History definition C	Weight definition D
309	Listen definition A	Catch definition B	Follow definition C	Detail definition D
310	Simply definition A	Campaign definition B	Well definition C	Hair definition D
311	Step definition A	Hand definition B	Mother definition C	Authority definition D
312	Them definition A	Name definition B	Activity definition C	Through definition D
313	Treatment definition A	Involve definition B	Artist definition C	Former definition D
314	Resource definition A	Miss definition B	Travel definition C	Arm definition D
315	Lawyer definition A	Writer definition B	Back definition C	Us definition D
316	Upon definition A	Term definition B	Program definition C	Later definition D
317	Art definition A	Where definition B	East definition C	Floor definition D
318	Word definition A	To definition B	Study definition C	Indeed definition D
319	Recently definition A	Bill definition B	Employee definition C	Service definition D
320	Organization definition A	Picture definition B	Gun definition C	Black definition D
321	Success definition A	Subject definition B	Get definition C	Necessary definition D
322	Assume definition A	Us definition B	Boy definition C	Discover definition D
323	Forward definition A	Shake definition B	Hospital definition C	Explain definition D
324	Girl definition A	Might definition B	Run definition C	Wear definition D
325	Easy definition A	Wonder definition B	Really definition C	Hot definition D
326	Ago definition A	College definition B	Quickly definition C	Rather definition D
327	Not definition A	Even definition B	Anyone definition C	Organization definition D
328	Life definition A	Surface definition B	Include definition C	Hear definition D
329	Fast definition A	Its definition B	At definition C	Kid definition D
330	Break definition A	Media definition B	Far definition C	I definition D
331	Treat definition A	By definition B	Teacher definition C	Day definition D
332	Quite definition A	Prepare definition B	Sister definition C	Best definition D
333	Parent definition A	Member definition B	Military definition C	Walk definition D
334	Most definition A	Economic definition B	Goal definition C	Guess definition D
335	Girl definition A	Maintain definition B	Argue definition C	Room definition D
336	Game definition A	Money definition B	History definition C	May definition D
337	Above definition A	Plant definition B	Claim definition C	Suddenly definition D
338	Ability definition A	Base definition B	Use definition C	Consider definition D
339	Teacher definition A	Common definition B	Say definition C	Financial definition D
340	Glass definition A	Social definition B	Management definition C	Strong definition D
341	Yard definition A	Point definition B	Water definition C	Window definition D
342	Work definition A	Along definition B	Book definition C	Great definition D
343	Activity definition A	Hot definition B	Action definition C	Finish definition D
344	Deep definition A	Investment definition B	Interview definition C	Know definition D
345	Order definition A	Same definition B	Short definition C	Save definition D
346	Such definition A	Growth definition B	Stock definition C	Reduce definition D
347	World definition A	Over definition B	Because definition C	Traditional definition D
348	Detail definition A	Performance definition B	Low definition C	Month definition D
349	Style definition A	Choice definition B	Thousand definition C	Leader definition D
350	Message definition A	Call definition B	It definition C	Respond definition D
351	As definition A	Painting definition B	When definition C	Fear definition D
352	Town definition A	Somebody definition B	Cup definition C	Player definition D
353	News definition A	Point definition B	Pass definition C	Article definition D
354	Fine definition A	Personal definition B	Her definition C	Thing definition D
355	Line definition A	Deep definition B	Power definition C	Involve definition D
356	Our definition A	Until definition B	Reality definition C	Also definition D
357	Hand definition A	Idea definition B	He definition C	Black definition D
358	Hospital definition A	Run definition B	Evidence definition C	Production definition D
359	Guy definition A	Board definition B	Bad definition C	Top definition D
360	Receive definition A	Hour definition B	Support definition C	Lawyer definition D
361	Magazine definition A	Shoulder definition B	Stay definition C	West definition D
362	Hour definition A	Your definition B	Same definition C	Final definition D
363	Process definition A	Make definition B	Minute definition C	Account definition D
364	Why definition A	Sure definition B	Theory definition C	Heart definition D
365	Sport definition A	Message definition B	Strong definition C	Herself definition D
366	Heavy definition A	Build definition B	Crime definition C	Recognize definition D
367	Ready definition A	Begin definition B	Public definition C	Two definition D
368	Despite definition A	Into definition B	Affect definition C	Local definition D
369	Prove definition A	Campaign definition B	Indicate definition C	Budget definition D
370	Either definition A	No definition B	Thought definition C	Source definition D
371	Back definition A	Key definition B	Company definition C	Follow definition D
372	Suffer definition A	Party definition B	Within definition C	Great definition D
373	Environment definition A	Mission definition B	Option definition C	Since definition D
374	Care definition A	Partner definition B	Few definition C	Gun definition D
375	Produce definition A	Have definition B	They definition C	Write definition D
376	Down definition A	Occur definition B	Yourself definition C	When definition D
377	Customer definition A	Professional definition B	Camera definition C	Policy definition D
378	Picture definition A	Less definition B	Away definition C	Them definition D
379	Staff definition A	Remain definition B	Want definition C	White definition D
380	Popular definition A	Really definition B	Also definition C	Write definition D
381	Property definition A	Suffer definition B	Single definition C	Theory definition D
382	Enough definition A	Account definition B	Investment definition C	Story definition D
383	Range definition A	Degree definition B	Energy definition C	Least definition D
384	Believe definition A	Back definition B	Where definition C	Eye definition D
385	Very definition A	Sign definition B	Sister definition C	Money definition D
386	News definition A	Offer definition B	Everyone definition C	Chance definition D
387	City definition A	To definition B	Produce definition C	Develop definition D
388	Resource definition A	Usually definition B	Lay definition C	Claim definition D
389	Mother definition A	Off definition B	Magazine definition C	Product definition D
390	Model definition A	And definition B	Control definition C	Face definition D
391	Across definition A	Determine definition B	Fly definition C	Environment definition D
392	Bag definition A	Wall definition B	Certain definition C	Size definition D
393	Fire definition A	Figure definition B	Under definition C	Enough definition D
394	Would definition A	Smile definition B	However definition C	After definition D
395	Cut definition A	Three definition B	Resource definition C	Behind definition D
396	Capital definition A	Always definition B	Save definition C	Prevent definition D
397	Many definition A	Plan definition B	Others definition C	Feel definition D
398	Again definition A	Where definition B	Exactly definition C	Audience definition D
399	Possible definition A	Father definition B	Ten definition C	Sort definition D
400	Fill definition A	Car definition B	Scientist definition C	Travel definition D
401	Poor definition A	Reach definition B	Seek definition C	Season definition D
402	Thing definition A	Size definition B	Force definition C	Share definition D
403	Stuff definition A	Direction definition B	Short definition C	Hundred definition D
404	Really definition A	Ahead definition B	Become definition C	Interview definition D
405	Attorney definition A	Impact definition B	Worker definition C	Clearly definition D
406	Responsibility definition A	Rate definition B	Letter definition C	Poor definition D
407	Tough definition A	Walk definition B	Learn definition C	Fast definition D
408	Skill definition A	Baby definition B	Rise definition C	Military definition D
409	Full definition A	Natural definition B	Trial definition C	Perform definition D
410	Agent definition A	Right definition B	Back definition C	Send definition D
411	Mission definition A	Road definition B	Lose definition C	Population definition D
412	Store definition A	Four definition B	Trip definition C	Hour definition D
413	Practice definition A	Position definition B	Name definition C	Minute definition D
414	Present definition A	Wall definition B	Entire definition C	Feel definition D
415	Manage definition A	Mind definition B	Election definition C	Occur definition D
416	Customer definition A	Reach definition B	Cut definition C	Time definition D
417	First definition A	Table definition B	Professional definition C	Image definition D
418	Then definition A	Price definition B	Enjoy definition C	Describe definition D
419	Art definition A	Main definition B	Low definition C	Couple definition D
420	Property definition A	Finish definition B	Could definition C	Class definition D
421	Indicate definition A	Inside definition B	Investment definition C	Military definition D
422	Allow definition A	All definition B	Throughout definition C	Each definition D
423	Officer definition A	Suddenly definition B	Standard definition C	Including definition D
424	Wife definition A	Service definition B	Scientist definition C	Effort definition D
425	Laugh definition A	Effect definition B	Skill definition C	No definition D
426	Level definition A	Through definition B	Without definition C	Audience definition D
427	Major definition A	Feeling definition B	Week definition C	How definition D
428	Truth definition A	Final definition B	Be definition C	Type definition D
429	Ok definition A	Machine definition B	Interview definition C	Blue definition D
430	Final definition A	Affect definition B	Best definition C	Direction definition D
431	Direction definition A	College definition B	American definition C	Game definition D
432	Leader definition A	Worry definition B	Enter definition C	Help definition D
433	Several definition A	Be definition B	Join definition C	Little definition D
434	Main definition A	Leave definition B	Employee definition C	Add definition D
435	Of definition A	Wrong definition B	Short definition C	Go definition D
436	Since definition A	Behind definition B	Street definition C	Design definition D
437	Water definition A	Nearly definition B	On definition C	Trip definition D
438	Certainly definition A	Attorney definition B	Finally definition C	Although definition D
439	Tell definition A	Be definition B	Success definition C	Happen definition D
440	Marriage definition A	Professional definition B	Person definition C	While definition D
441	Short definition A	Mind definition B	Provide definition C	Between definition D
442	Together definition A	Compare definition B	International definition C	Color definition D
443	True definition A	Fund definition B	Offer definition C	Reality definition D
444	Until definition A	Happy definition B	Fight definition C	Staff definition D
445	Yard definition A	Stand definition B	Anything definition C	Half definition D
446	Usually definition A	During definition B	Under definition C	Let definition D
447	Last definition A	Develop definition B	Simply definition C	Three definition D
448	Few definition A	Value definition B	Radio definition C	Dog definition D
449	Minute definition A	According definition B	Them definition C	Like definition D
450	Ability definition A	Beautiful definition B	What definition C	Morning definition D
451	Early definition A	East definition B	Source definition C	Opportunity definition D
452	East definition A	Career definition B	Great definition C	Remain definition D
453	Coach definition A	Race definition B	Site definition C	Game definition D
454	Who definition A	Decade definition B	Difficult definition C	Wife definition D
455	Daughter definition A	Policy definition B	Possible definition C	Ground definition D
456	Attention definition A	Animal definition B	Form definition C	Eight definition D
457	North definition A	New definition B	Most definition C	Leave definition D
458	Both definition A	Box definition B	Property definition C	Day definition D
459	Response definition A	Here definition B	Minute definition C	East definition D
460	Short definition A	Special definition B	Gas definition C	Summer definition D
461	Argue definition A	Own definition B	Against definition C	Watch definition D
462	Relate definition A	Meeting definition B	Crime definition C	Contain definition D
463	Ball definition A	His definition B	Itself definition C	Despite definition D
464	Admit definition A	Unit definition B	Man definition C	Responsibility definition D
465	Husband definition A	Early definition B	Citizen definition C	Agree definition D
466	Your definition A	Onto definition B	Ten definition C	Role definition D
467	I definition A	Parent definition B	General definition C	It definition D
468	New definition A	Relate definition B	Student definition C	Staff definition D
469	Energy definition A	Building definition B	Threat definition C	Democrat definition D
470	Move definition A	Board definition B	Could definition C	Set definition D
471	Follow definition A	Seat definition B	Police definition C	While definition D
472	Believe definition A	Gun definition B	Old definition C	Pressure definition D
473	Everybody definition A	Despite definition B	Fire definition C	Everything definition D
474	Everybody definition A	Trouble definition B	Star definition C	Show definition D
475	Community definition A	Decide definition B	Quality definition C	Usually definition D
476	Seven definition A	Deep definition B	Mrs definition C	Policy definition D
477	Decision definition A	Strong definition B	Important definition C	Matter definition D
478	Notice definition A	Similar definition B	Writer definition C	Allow definition D
479	Letter definition A	Among definition B	Difference definition C	Prevent definition D
480	Poor definition A	Each definition B	To definition C	Congress definition D
481	Brother definition A	Effect definition B	Professional definition C	Case definition D
482	Out definition A	Mouth definition B	Act definition C	Meet definition D
483	Street definition A	Especially definition B	Machine definition C	Wrong definition D
484	Man definition A	Environmental definition B	Serve definition C	Store definition D
485	Whose definition A	Even definition B	Quality definition C	Agreement definition D
486	Present definition A	Coach definition B	You definition C	Fish definition D
487	Base definition A	Customer definition B	Know definition C	Mrs definition D
488	Eye definition A	Food definition B	Keep definition C	Would definition D
489	Happy definition A	Approach definition B	Position definition C	Enter definition D
490	Hand definition A	Past definition B	Name definition C	Woman definition D
491	Picture definition A	Operation definition B	Movie definition C	Whether definition D
