ID	ExplanationText
70	A is correct: Honeytokens detect insider threats. B is about surveillance. C is unrelated to access deception. D is logging based.
74	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
75	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
76	Full Disk Encryption secures all data on a drive except the MBR.
77	Salting makes hashes unique, protecting against rainbow table attacks.
78	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
79	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
80	CAs issue and sign certificates. They don't encrypt data or store password hashes.
81	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
82	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
83	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
84	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
85	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
86	Full Disk Encryption secures all data on a drive except the MBR.
87	Salting makes hashes unique, protecting against rainbow table attacks.
88	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
89	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
90	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
91	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
92	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
93	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
94	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
95	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
96	Full Disk Encryption secures all data on a drive except the MBR.
97	Salting makes hashes unique, protecting against rainbow table attacks.
98	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
99	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
100	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
101	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
102	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
103	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
104	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
105	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
106	Full Disk Encryption secures all data on a drive except the MBR.
107	Salting makes hashes unique, protecting against rainbow table attacks.
108	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
109	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
110	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
111	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
112	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
113	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
114	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
115	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
116	Full Disk Encryption secures all data on a drive except the MBR.
117	Salting makes hashes unique, protecting against rainbow table attacks.
118	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
119	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
120	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
121	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
122	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
123	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
124	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
125	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
126	Full Disk Encryption secures all data on a drive except the MBR.
127	Salting makes hashes unique, protecting against rainbow table attacks.
128	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
129	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
130	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
131	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
132	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
133	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
134	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
135	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
136	Full Disk Encryption secures all data on a drive except the MBR.
137	Salting makes hashes unique, protecting against rainbow table attacks.
138	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
139	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
140	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
141	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
142	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
143	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
144	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
145	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
146	Full Disk Encryption secures all data on a drive except the MBR.
147	Salting makes hashes unique, protecting against rainbow table attacks.
148	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
149	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
150	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
151	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
152	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
153	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
154	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
155	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
156	Full Disk Encryption secures all data on a drive except the MBR.
157	Salting makes hashes unique, protecting against rainbow table attacks.
158	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
159	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
160	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
161	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
162	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
163	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
164	AES and DES are symmetric block ciphers. RSA and ECC are asymmetric.
165	RSA and DSA are used for digital signatures. HMAC is for message authentication; DES is symmetric.
166	Full Disk Encryption secures all data on a drive except the MBR.
167	Salting makes hashes unique, protecting against rainbow table attacks.
168	ECDHE provides perfect forward secrecy. SHA-2 is a hashing function.
169	Digital signatures provide integrity, authentication, and non-repudiation, but not confidentiality.
170	CAs issue and sign certificates. They don?ÇÖt encrypt data or store password hashes.
171	TPM, HSM, and Secure Enclave are cryptographic tools. CSR is a request form, not a tool.
172	Blockchain is immutable, decentralized, and uses consensus mechanisms for validation.
173	SHA-2 and SHA-3 are secure. MD5 and SHA-1 are deprecated due to vulnerabilities.
174	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
175	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
176	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
177	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
178	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
179	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
180	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
181	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
182	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
183	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
184	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
185	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
186	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
187	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
188	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
189	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
190	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
191	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
192	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
193	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
194	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
195	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
196	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
197	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
198	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
199	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
200	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
201	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
202	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
203	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
204	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
205	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
206	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
207	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
208	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
209	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
210	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
211	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
212	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
213	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
214	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
215	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
216	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
217	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
218	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
219	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
220	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
221	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
222	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
223	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
224	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
225	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
226	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
227	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
228	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
229	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
230	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
231	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
232	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
233	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
234	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
235	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
236	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
237	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
238	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
239	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
240	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
241	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
242	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
243	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
244	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
245	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
246	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
247	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
248	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
249	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
250	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
251	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
252	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
253	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
254	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
255	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
256	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
257	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
258	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
259	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
260	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
261	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
262	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
263	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
264	Nation-state, hacktivist, and insider are threat actor types. Rootkit is a tool, not an actor.
265	Revenge, fame, and espionage are motivations. Backup is not a motivation, it's a defense measure.
266	Phishing, dumpster diving, and pretexting are social engineering tactics. Firewall rules are not.
267	Default credentials, USB devices, and outdated systems are common attack surfaces. Firewall settings may be defensive.
268	Vendors, MSPs, and cloud providers are common sources of supply chain vulnerabilities. Antivirus is a defense.
269	Race conditions, buffer overflows, and zero-days are application vulnerabilities. Logic bomb is a payload.
270	XSS, SQLi, and CSRF are web vulnerabilities. Whaling is a type of social engineering.
271	Firmware flaws, VM escape, and hyperjacking are hardware/virtualization vulnerabilities. Jailbreaking is mobile-specific.
272	Data breaches, weak IAM, and shared tech flaws are in the CSA 12. Phishing is not cloud-specific.
273	Side loading, jailbreaking, and rooting are mobile vulnerabilities. Buffer overflow is an application vulnerability.
274	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
277	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
280	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
283	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
286	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
289	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
292	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
295	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
298	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
301	Smishing, vishing, and whaling are all variants of phishing attacks. Dumpster diving is not.
305	Default credentials are often exploited as a common attack surface.
306	Attackers often exploit the trust relationship with third-party vendors to breach systems.
308	Weak identity, credential, and access management is one of the CSA top cloud risks.
309	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
310	Organized crime groups are primarily motivated by financial gain.
312	Default credentials are often exploited as a common attack surface.
313	Attackers often exploit the trust relationship with third-party vendors to breach systems.
315	Weak identity, credential, and access management is one of the CSA top cloud risks.
316	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
317	Organized crime groups are primarily motivated by financial gain.
319	Default credentials are often exploited as a common attack surface.
320	Attackers often exploit the trust relationship with third-party vendors to breach systems.
322	Weak identity, credential, and access management is one of the CSA top cloud risks.
323	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
324	Organized crime groups are primarily motivated by financial gain.
326	Default credentials are often exploited as a common attack surface.
327	Attackers often exploit the trust relationship with third-party vendors to breach systems.
329	Weak identity, credential, and access management is one of the CSA top cloud risks.
330	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
331	Organized crime groups are primarily motivated by financial gain.
333	Default credentials are often exploited as a common attack surface.
334	Attackers often exploit the trust relationship with third-party vendors to breach systems.
336	Weak identity, credential, and access management is one of the CSA top cloud risks.
337	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
338	Organized crime groups are primarily motivated by financial gain.
340	Default credentials are often exploited as a common attack surface.
341	Attackers often exploit the trust relationship with third-party vendors to breach systems.
343	Weak identity, credential, and access management is one of the CSA top cloud risks.
344	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
345	Organized crime groups are primarily motivated by financial gain.
347	Default credentials are often exploited as a common attack surface.
348	Attackers often exploit the trust relationship with third-party vendors to breach systems.
350	Weak identity, credential, and access management is one of the CSA top cloud risks.
351	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
352	Organized crime groups are primarily motivated by financial gain.
354	Default credentials are often exploited as a common attack surface.
355	Attackers often exploit the trust relationship with third-party vendors to breach systems.
357	Weak identity, credential, and access management is one of the CSA top cloud risks.
358	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
359	Organized crime groups are primarily motivated by financial gain.
361	Default credentials are often exploited as a common attack surface.
362	Attackers often exploit the trust relationship with third-party vendors to breach systems.
364	Weak identity, credential, and access management is one of the CSA top cloud risks.
365	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
366	Organized crime groups are primarily motivated by financial gain.
368	Default credentials are often exploited as a common attack surface.
369	Attackers often exploit the trust relationship with third-party vendors to breach systems.
371	Weak identity, credential, and access management is one of the CSA top cloud risks.
372	Nation-state actors are known for engaging in cyber espionage on behalf of governments.
373	Organized crime groups are primarily motivated by financial gain.
374	Segmentation improves network performance and security by limiting broadcast domains and controlling access. Choices like A (speed), C (cloud cost), and D (DNS resolution) dont directly address segmentation's goal.
375	Segmentation reduces the attack surface and helps contain breaches. Alternatives like B (throughput), C (encryption), and D (accessibility) are not the main purpose.
376	Isolation protects sensitive zones from unauthorized access. A (bandwidth improvement), C (redundant servers), and D (server load balancing) are secondary or unrelated benefits.
377	ACLs control traffic by permitting or denying based on IPs, ports, or protocols. A (encrypt), C (compress), and D (logins) are not directly ACL functions.
378	Network ACLs filter inbound/outbound traffic at the subnet level. A (encrypt), B (user login), and D (DNS resolution) are not core NACL purposes.
379	Security groups are stateful and evaluate all rules, unlike NACLs which are stateless and use rule ordering. C and D refer to unrelated services or features.
380	CM provides visibility into asset configuration. B (penetration), C (email), and D (firewall configs) may relate but arent the main purpose.
381	CMDB allows understanding interdependencies and speeds response. A, C, and D are examples of tools that might access CMDB data but not its main role.
382	Patch management reduces vulnerabilities and improves performance. B (slows systems), C (avoids updates), and D (leaves vulnerabilities open) are incorrect or unsafe.
383	Least privilege ensures only necessary permissions are granted. A (trust model) and B (full access) increase risk; D (deny all) oversimplifies access control.
384	Limiting permissions reduces risk of misuse. B and C over-empower users; D implies zero access, which is impractical.
385	Separation of duties prevents misuse by dividing responsibilities. B, C, and D could introduce conflict of interest or insider threats.
386	Encryption enforces access by requiring decryption keys. A (ACLs) and B (passwords) manage access differently; D (compression) is unrelated.
387	Encryption protects data from interception. B (plaintext), C (MAC filtering), and D (firewall) dont secure the actual data content.
388	Asymmetric encryption enables digital signatures for origin validation. A (symmetric) lacks scalability; C and D dont provide cryptographic origin assurance.
389	Regular monitoring detects anomalies or misuse. A (manual checks), C (trust), and D (weekly reports) may miss real-time threats.
390	SIEM tools centralize logs and alerts. B (Excel), C (Outlook), and D (USB tools) are not designed for security monitoring.
391	Without visibility, unauthorized access may go undetected. A (faster performance), C (reliable backups), and D (system uptime) are unrelated.
392	Ex-employees may retain access and leak data. BD are examples of how improper offboarding fails to address this.
393	Collaboration ensures timely access revocation. A (solo HR), B (IT-only), and D (manual paper logs) are inconsistent or incomplete.
394	HRIT collaboration aligns offboarding processes. A (external vendors), C (marketing), and D (security alone) lack scope or authority.
395	Hardening reduces attack surfaces. A (app installations), C (open access), and D (legacy software) introduce vulnerabilities.
397	Default passwords are widely known and exploited. A (upgrading software), C (resetting routers), and D (slow performance) dont directly solve the issue.
398	Unused ports may be exploited by attackers. BD are indirect or ineffective mitigations.
401	Zero Trust verifies every access request, even internally, making endpoint hardening critical. BD dont enforce this level of scrutiny.
402	Passwordless auth improves security and usability. A (no auth), C (static passwords), and D (shared accounts) are risky practices.
403	Unnecessary software increases the attack surface. A (faster systems), B (productivity), and C (automation) may be irrelevant or misleading.
404	Regular audits prevent permissions from becoming overly permissive. A (monthly backups), C (encrypted folders), and D (firewall logs) are insufficient.
406	VLANs enable separation of network zones for performance and security. B (WPA2), C
415	 A is correct because resilience ensures that a system can continue operating even under stress or failure conditions. The other options describe related but distinct concepts: availability refers to uptime, durability refers to long-term data protection, and elasticity is about scaling resources up/down.
416	 B is correct as resilience refers to the ability to keep functioning during disruptions. Reliability refers to overall performance, cost optimization is financial, and patch automation is maintenance related.
417	 C is correct. Resilience ensures that even in a degraded state, systems meet critical operational goals. A and B are components of resilience, but not comprehensive. D is a load strategy, not a resilience measure.
418	 A is correct. Availability includes both planned and unplanned outages, while reliability includes only unplanned ones. C is incorrectavailability and durability are separate. D is wrongreliability is not always higher.
419	 B is correct because reliability only accounts for unplanned outages (failures). A is incorrect as that refers to availability. C and D are irrelevant to reliability definitions.
420	 D is correct. Reliability excludes planned maintenance and only measures uptime affected by unexpected issues. Availability includes both planned and unplanned downtime.
421	 A is correct because durability is focused on ensuring that data remains intact and unchanged over long periods. B and D are availability concerns. C is more about backup logistics.
422	 A is correct. Bit rot and data corruption are exactly what durability aims to prevent. B, C, and D are either infrastructure or threat-based, not data integrity-specific.
423	 B is correct. Durability ensures that stored data is not lost or altered over time. Availability, redundancy, and reliability relate more to system uptime and recovery, not data retention.
424	 A, B, and D are correct. Clustering, redundant systems, and uninterruptible power supplies all contribute to high availability. Scheduled patching is a maintenance task, not an HA strategy.
425	 A, B, and D are correct. These are common hardware-based solutions to maintain uptime. Manual backups are not real-time and do not ensure availability.
426	 A, C, and D are correct. These all enhance availability and resilience. Manual config is error-prone and counter to resilience goals.
427	 A, B, and D are correct. IaC improves deployment by standardizing and tracking infrastructure changes. Manual updates are error-prone and not recommended.
428	 B and C are correct. IaC templates and dynamic scaling improve reliability and consistency. Manual provisioning and configuration drift are drawbacks.
429	 A, B, and C are correct. These are key benefits of using IaC. Manual patching is unrelated or even contradictory to IaC principles.
430	 A, B, and C are correct. All are formats or terms commonly used to represent IaC code. D is not a recognized format for this purpose.
431	 A and B are correct. YAML and JSON are the primary IaC template formats. XML and CSV are not widely used for this.
432	 A and C are correct. YAML and JSON are used extensively for IaC and automation templates. PowerShell and shell scripts are scripting languages, not template formats.
433	 A, B, and C are correct. These are always the customer's responsibility in any cloud model. Hypervisor control typically remains with the cloud provider.
