ID	ExplanationText
54	This question tests understanding of DAC. Correct answer(s): B, D.
55	This question tests understanding of IDS/IPS. Correct answer(s): A.
56	This question tests understanding of availability. Correct answer(s): C.
57	This question tests understanding of social engineering. Correct answer(s): A.
58	This question tests understanding of social engineering. Correct answer(s): D.
59	This question tests understanding of ransomware. Correct answer(s): C.
60	This question tests understanding of RBAC. Correct answer(s): C.
61	This question tests understanding of encryption. Correct answer(s): C, D.
62	This question tests understanding of availability. Correct answer(s): B.
63	This question tests understanding of log analysis. Correct answer(s): C.
64	This question tests understanding of RBAC. Correct answer(s): C.
65	This question tests understanding of TLS. Correct answer(s): D.
66	This question tests understanding of log analysis. Correct answer(s): C.
67	This question tests understanding of DAC. Correct answer(s): A, D.
68	This question tests understanding of RBAC. Correct answer(s): B, C.
69	This question tests understanding of DAC. Correct answer(s): A.
70	This question tests understanding of RBAC. Correct answer(s): C, D.
71	This question tests understanding of penetration testing. Correct answer(s): C, D.
72	This question tests understanding of multi-factor authentication. Correct answer(s): C, D.
73	This question tests understanding of SIEM. Correct answer(s): D.
74	This question tests understanding of TLS. Correct answer(s): C.
75	This question tests understanding of DAC. Correct answer(s): B.
76	This question tests understanding of multi-factor authentication. Correct answer(s): C.
77	This question tests understanding of RBAC. Correct answer(s): A.
78	This question tests understanding of penetration testing. Correct answer(s): A, B.
79	This question tests understanding of DAC. Correct answer(s): D.
80	This question tests understanding of VPN. Correct answer(s): D.
81	This question tests understanding of confidentiality. Correct answer(s): B, C.
82	This question tests understanding of availability. Correct answer(s): B.
83	This question tests understanding of encryption. Correct answer(s): A, D.
84	This question tests understanding of confidentiality. Correct answer(s): A.
85	This question tests understanding of malware. Correct answer(s): B.
86	This question tests understanding of SIEM. Correct answer(s): B.
87	This question tests understanding of TLS. Correct answer(s): D.
88	This question tests understanding of penetration testing. Correct answer(s): C.
89	This question tests understanding of availability. Correct answer(s): B.
90	This question tests understanding of VPN. Correct answer(s): D.
91	This question tests understanding of VPN. Correct answer(s): A.
92	This question tests understanding of malware. Correct answer(s): C.
93	This question tests understanding of social engineering. Correct answer(s): C, D.
94	This question tests understanding of vulnerability scanning. Correct answer(s): B, C.
95	This question tests understanding of access control models. Correct answer(s): B, D.
96	This question tests understanding of TLS. Correct answer(s): A.
97	This question tests understanding of malware. Correct answer(s): A, B.
98	This question tests understanding of phishing. Correct answer(s): B.
99	This question tests understanding of log analysis. Correct answer(s): A, C.
100	This question tests understanding of encryption. Correct answer(s): B.
101	This question tests understanding of SIEM. Correct answer(s): A, D.
102	This question tests understanding of access control models. Correct answer(s): A.
103	This question tests understanding of SIEM. Correct answer(s): A.
104	This question tests understanding of DAC. Correct answer(s): A, D.
105	This question tests understanding of confidentiality. Correct answer(s): A.
106	This question tests understanding of malware. Correct answer(s): B, D.
107	This question tests understanding of phishing. Correct answer(s): C.
108	This question tests understanding of SIEM. Correct answer(s): A, C.
109	This question tests understanding of DAC. Correct answer(s): D.
110	This question tests understanding of TLS. Correct answer(s): C.
111	This question tests understanding of TLS. Correct answer(s): A.
112	This question tests understanding of access control models. Correct answer(s): B.
113	This question tests understanding of log analysis. Correct answer(s): D.
114	This question tests understanding of IDS/IPS. Correct answer(s): C, D.
115	This question tests understanding of phishing. Correct answer(s): B, C.
116	This question tests understanding of integrity. Correct answer(s): D.
117	This question tests understanding of VPN. Correct answer(s): A.
118	This question tests understanding of log analysis. Correct answer(s): A, B.
119	This question tests understanding of MAC. Correct answer(s): C, D.
120	This question tests understanding of availability. Correct answer(s): C.
121	This question tests understanding of malware. Correct answer(s): B, C.
122	This question tests understanding of RBAC. Correct answer(s): A, D.
123	This question tests understanding of access control models. Correct answer(s): C.
124	This question tests understanding of encryption. Correct answer(s): D.
125	This question tests understanding of penetration testing. Correct answer(s): B, C.
126	This question tests understanding of ransomware. Correct answer(s): B.
127	This question tests understanding of SIEM. Correct answer(s): D.
128	This question tests understanding of DAC. Correct answer(s): B.
129	This question tests understanding of DAC. Correct answer(s): C.
130	This question tests understanding of RBAC. Correct answer(s): B, D.
131	This question tests understanding of risk mitigation. Correct answer(s): A, D.
132	This question tests understanding of integrity. Correct answer(s): B.
133	This question tests understanding of penetration testing. Correct answer(s): D.
134	This question tests understanding of PKI. Correct answer(s): B.
135	This question tests understanding of encryption. Correct answer(s): A, B.
136	This question tests understanding of TLS. Correct answer(s): D.
137	This question tests understanding of firewalls. Correct answer(s): C.
138	This question tests understanding of VPN. Correct answer(s): D.
139	This question tests understanding of encryption. Correct answer(s): C, D.
140	This question tests understanding of penetration testing. Correct answer(s): D.
141	This question tests understanding of malware. Correct answer(s): C.
142	This question tests understanding of penetration testing. Correct answer(s): C.
143	This question tests understanding of firewalls. Correct answer(s): B.
144	This question tests understanding of penetration testing. Correct answer(s): D.
145	This question tests understanding of malware. Correct answer(s): C.
146	This question tests understanding of penetration testing. Correct answer(s): A, C.
147	This question tests understanding of integrity. Correct answer(s): C.
148	This question tests understanding of MAC. Correct answer(s): C.
149	This question tests understanding of TLS. Correct answer(s): A, C.
150	This question tests understanding of penetration testing. Correct answer(s): A, C.
151	This question tests understanding of integrity. Correct answer(s): B, D.
152	This question tests understanding of social engineering. Correct answer(s): A, B.
153	This question tests understanding of risk mitigation. Correct answer(s): A.
154	This question tests understanding of DAC. Correct answer(s): C, D.
155	This question tests understanding of ransomware. Correct answer(s): C, D.
156	This question tests understanding of TLS. Correct answer(s): B.
157	This question tests understanding of TLS. Correct answer(s): D.
158	This question tests understanding of DAC. Correct answer(s): A, C.
159	This question tests understanding of IDS/IPS. Correct answer(s): D.
160	This question tests understanding of log analysis. Correct answer(s): A, D.
161	This question tests understanding of vulnerability scanning. Correct answer(s): C.
162	This question tests understanding of availability. Correct answer(s): A.
163	This question tests understanding of malware. Correct answer(s): D.
164	This question tests understanding of TLS. Correct answer(s): A, D.
165	This question tests understanding of MAC. Correct answer(s): B.
166	This question tests understanding of penetration testing. Correct answer(s): A.
167	This question tests understanding of RBAC. Correct answer(s): B, D.
168	This question tests understanding of firewalls. Correct answer(s): A.
169	This question tests understanding of SIEM. Correct answer(s): A.
170	This question tests understanding of SIEM. Correct answer(s): B.
171	This question tests understanding of penetration testing. Correct answer(s): A.
172	This question tests understanding of malware. Correct answer(s): C, D.
173	This question tests understanding of penetration testing. Correct answer(s): D.
174	This question tests understanding of ransomware. Correct answer(s): C.
175	This question tests understanding of multi-factor authentication. Correct answer(s): A, D.
176	This question tests understanding of phishing. Correct answer(s): A, D.
177	This question tests understanding of PKI. Correct answer(s): B.
178	This question tests understanding of ransomware. Correct answer(s): C.
179	This question tests understanding of SIEM. Correct answer(s): C.
180	This question tests understanding of penetration testing. Correct answer(s): A, D.
181	This question tests understanding of risk mitigation. Correct answer(s): D.
182	This question tests understanding of integrity. Correct answer(s): A.
183	This question tests understanding of multi-factor authentication. Correct answer(s): A.
184	This question tests understanding of IDS/IPS. Correct answer(s): B.
185	This question tests understanding of risk mitigation. Correct answer(s): A, D.
186	This question tests understanding of IDS/IPS. Correct answer(s): A.
187	This question tests understanding of malware. Correct answer(s): A, B.
188	This question tests understanding of phishing. Correct answer(s): A.
189	This question tests understanding of multi-factor authentication. Correct answer(s): A.
190	This question tests understanding of VPN. Correct answer(s): B, C.
191	This question tests understanding of vulnerability scanning. Correct answer(s): C.
192	This question tests understanding of SIEM. Correct answer(s): C.
193	This question tests understanding of vulnerability scanning. Correct answer(s): A.
194	This question tests understanding of PKI. Correct answer(s): A.
195	This question tests understanding of malware. Correct answer(s): C.
196	This question tests understanding of integrity. Correct answer(s): C, D.
197	This question tests understanding of DAC. Correct answer(s): B.
198	This question tests understanding of access control models. Correct answer(s): B.
199	This question tests understanding of access control models. Correct answer(s): A.
200	This question tests understanding of encryption. Correct answer(s): B, D.
201	This question tests understanding of availability. Correct answer(s): D.
202	This question tests understanding of MAC. Correct answer(s): A, D.
203	This question tests understanding of penetration testing. Correct answer(s): A, B.
204	This question tests understanding of access control models. Correct answer(s): A.
205	This question tests understanding of MAC. Correct answer(s): B, C.
206	This question tests understanding of availability. Correct answer(s): A.
207	This question tests understanding of PKI. Correct answer(s): A.
208	This question tests understanding of phishing. Correct answer(s): A.
209	This question tests understanding of confidentiality. Correct answer(s): C, D.
210	This question tests understanding of ransomware. Correct answer(s): A, B.
211	This question tests understanding of phishing. Correct answer(s): D.
212	This question tests understanding of confidentiality. Correct answer(s): C, D.
213	This question tests understanding of VPN. Correct answer(s): B.
214	This question tests understanding of multi-factor authentication. Correct answer(s): A.
215	This question tests understanding of IDS/IPS. Correct answer(s): A.
216	This question tests understanding of multi-factor authentication. Correct answer(s): A, B.
217	This question tests understanding of MAC. Correct answer(s): A, D.
218	This question tests understanding of multi-factor authentication. Correct answer(s): B, D.
219	This question tests understanding of IDS/IPS. Correct answer(s): A, B.
220	This question tests understanding of social engineering. Correct answer(s): A, D.
221	This question tests understanding of malware. Correct answer(s): A, C.
222	This question tests understanding of risk mitigation. Correct answer(s): B.
223	This question tests understanding of firewalls. Correct answer(s): D.
224	This question tests understanding of PKI. Correct answer(s): C.
225	This question tests understanding of encryption. Correct answer(s): D.
226	This question tests understanding of social engineering. Correct answer(s): A, D.
227	This question tests understanding of integrity. Correct answer(s): A.
228	This question tests understanding of MAC. Correct answer(s): B.
229	This question tests understanding of SIEM. Correct answer(s): B.
230	This question tests understanding of confidentiality. Correct answer(s): C.
231	This question tests understanding of vulnerability scanning. Correct answer(s): B.
232	This question tests understanding of IDS/IPS. Correct answer(s): B.
233	This question tests understanding of IDS/IPS. Correct answer(s): C.
234	This question tests understanding of firewalls. Correct answer(s): B.
235	This question tests understanding of firewalls. Correct answer(s): C, D.
236	This question tests understanding of IDS/IPS. Correct answer(s): A.
237	This question tests understanding of access control models. Correct answer(s): A.
238	This question tests understanding of phishing. Correct answer(s): B.
239	This question tests understanding of SIEM. Correct answer(s): D.
240	This question tests understanding of multi-factor authentication. Correct answer(s): A, C.
241	This question tests understanding of penetration testing. Correct answer(s): A, C.
242	This question tests understanding of log analysis. Correct answer(s): D.
243	This question tests understanding of multi-factor authentication. Correct answer(s): C, D.
244	This question tests understanding of integrity. Correct answer(s): B.
245	This question tests understanding of IDS/IPS. Correct answer(s): D.
246	This question tests understanding of risk mitigation. Correct answer(s): B.
247	This question tests understanding of access control models. Correct answer(s): B.
248	This question tests understanding of DAC. Correct answer(s): B.
249	This question tests understanding of malware. Correct answer(s): A.
250	This question tests understanding of vulnerability scanning. Correct answer(s): C.
251	This question tests understanding of ransomware. Correct answer(s): A.
252	This question tests understanding of IDS/IPS. Correct answer(s): A.
253	This question tests understanding of access control models. Correct answer(s): C.
254	This question tests understanding of encryption. Correct answer(s): B.
255	This question tests understanding of ransomware. Correct answer(s): D.
256	This question tests understanding of vulnerability scanning. Correct answer(s): B, C.
257	This question tests understanding of ransomware. Correct answer(s): C.
258	This question tests understanding of log analysis. Correct answer(s): A, D.
259	This question tests understanding of vulnerability scanning. Correct answer(s): C, D.
260	This question tests understanding of risk mitigation. Correct answer(s): B.
261	This question tests understanding of RBAC. Correct answer(s): A.
262	This question tests understanding of risk mitigation. Correct answer(s): C, D.
263	This question tests understanding of encryption. Correct answer(s): C.
264	This question tests understanding of penetration testing. Correct answer(s): C.
265	This question tests understanding of log analysis. Correct answer(s): C.
266	This question tests understanding of RBAC. Correct answer(s): C.
267	This question tests understanding of MAC. Correct answer(s): A, D.
268	This question tests understanding of social engineering. Correct answer(s): A.
269	This question tests understanding of integrity. Correct answer(s): B, C.
270	This question tests understanding of DAC. Correct answer(s): D.
271	This question tests understanding of IDS/IPS. Correct answer(s): A, C.
272	This question tests understanding of confidentiality. Correct answer(s): C.
273	This question tests understanding of confidentiality. Correct answer(s): C, D.
274	This question tests understanding of malware. Correct answer(s): B, D.
275	This question tests understanding of PKI. Correct answer(s): C.
276	This question tests understanding of confidentiality. Correct answer(s): C, D.
277	This question tests understanding of PKI. Correct answer(s): C.
278	This question tests understanding of encryption. Correct answer(s): A.
279	This question tests understanding of SIEM. Correct answer(s): A, C.
280	This question tests understanding of risk mitigation. Correct answer(s): A.
281	This question tests understanding of firewalls. Correct answer(s): A.
282	This question tests understanding of availability. Correct answer(s): A.
283	This question tests understanding of integrity. Correct answer(s): B.
284	This question tests understanding of access control models. Correct answer(s): C.
285	This question tests understanding of integrity. Correct answer(s): A, C.
286	This question tests understanding of RBAC. Correct answer(s): C.
287	This question tests understanding of RBAC. Correct answer(s): C.
288	This question tests understanding of risk mitigation. Correct answer(s): B.
289	This question tests understanding of DAC. Correct answer(s): B.
290	This question tests understanding of access control models. Correct answer(s): C.
291	This question tests understanding of MAC. Correct answer(s): A.
292	This question tests understanding of social engineering. Correct answer(s): A, D.
293	This question tests understanding of malware. Correct answer(s): D.
294	This question tests understanding of access control models. Correct answer(s): B.
295	This question tests understanding of PKI. Correct answer(s): B.
296	This question tests understanding of multi-factor authentication. Correct answer(s): B.
297	This question tests understanding of TLS. Correct answer(s): A.
298	This question tests understanding of TLS. Correct answer(s): B.
299	This question tests understanding of integrity. Correct answer(s): D.
300	This question tests understanding of availability. Correct answer(s): B, C.
301	This question tests understanding of IDS/IPS. Correct answer(s): D.
302	This question tests understanding of integrity. Correct answer(s): C.
303	This question tests understanding of confidentiality. Correct answer(s): D.
304	This question tests understanding of social engineering. Correct answer(s): C.
305	This question tests understanding of DAC. Correct answer(s): A, C.
306	This question tests understanding of log analysis. Correct answer(s): D.
307	This question tests understanding of phishing. Correct answer(s): B.
308	This question tests understanding of penetration testing. Correct answer(s): A, D.
309	This question tests understanding of access control models. Correct answer(s): B.
310	This question tests understanding of malware. Correct answer(s): C, D.
311	This question tests understanding of phishing. Correct answer(s): B.
312	This question tests understanding of vulnerability scanning. Correct answer(s): A.
313	This question tests understanding of phishing. Correct answer(s): A.
314	This question tests understanding of vulnerability scanning. Correct answer(s): A, B.
315	This question tests understanding of SIEM. Correct answer(s): A, D.
316	This question tests understanding of vulnerability scanning. Correct answer(s): D.
317	This question tests understanding of PKI. Correct answer(s): C.
318	This question tests understanding of malware. Correct answer(s): C, D.
319	This question tests understanding of availability. Correct answer(s): C.
320	This question tests understanding of encryption. Correct answer(s): C.
321	This question tests understanding of firewalls. Correct answer(s): D.
322	This question tests understanding of penetration testing. Correct answer(s): B, D.
323	This question tests understanding of malware. Correct answer(s): A, C.
324	This question tests understanding of TLS. Correct answer(s): B.
325	This question tests understanding of risk mitigation. Correct answer(s): C, D.
326	This question tests understanding of log analysis. Correct answer(s): B.
327	This question tests understanding of ransomware. Correct answer(s): D.
328	This question tests understanding of access control models. Correct answer(s): D.
329	This question tests understanding of multi-factor authentication. Correct answer(s): C.
330	This question tests understanding of malware. Correct answer(s): D.
331	This question tests understanding of IDS/IPS. Correct answer(s): A, B.
332	This question tests understanding of phishing. Correct answer(s): B.
333	This question tests understanding of RBAC. Correct answer(s): C.
334	This question tests understanding of DAC. Correct answer(s): D.
335	This question tests understanding of TLS. Correct answer(s): A.
336	This question tests understanding of IDS/IPS. Correct answer(s): A, D.
337	This question tests understanding of confidentiality. Correct answer(s): A.
338	This question tests understanding of encryption. Correct answer(s): A, D.
339	This question tests understanding of ransomware. Correct answer(s): C, D.
340	This question tests understanding of vulnerability scanning. Correct answer(s): C, D.
341	This question tests understanding of SIEM. Correct answer(s): B.
342	This question tests understanding of IDS/IPS. Correct answer(s): A.
343	This question tests understanding of vulnerability scanning. Correct answer(s): B, D.
344	This question tests understanding of penetration testing. Correct answer(s): D.
345	This question tests understanding of RBAC. Correct answer(s): C.
346	This question tests understanding of DAC. Correct answer(s): A.
347	This question tests understanding of availability. Correct answer(s): C.
348	This question tests understanding of vulnerability scanning. Correct answer(s): A.
349	This question tests understanding of penetration testing. Correct answer(s): D.
350	This question tests understanding of PKI. Correct answer(s): D.
351	This question tests understanding of MAC. Correct answer(s): A.
352	This question tests understanding of risk mitigation. Correct answer(s): D.
353	This question tests understanding of malware. Correct answer(s): A.
354	This question tests understanding of malware. Correct answer(s): B, D.
355	This question tests understanding of malware. Correct answer(s): A, B.
356	This question tests understanding of PKI. Correct answer(s): C.
357	This question tests understanding of confidentiality. Correct answer(s): D.
358	This question tests understanding of confidentiality. Correct answer(s): D.
359	This question tests understanding of SIEM. Correct answer(s): D.
360	This question tests understanding of multi-factor authentication. Correct answer(s): D.
361	This question tests understanding of RBAC. Correct answer(s): B.
362	This question tests understanding of RBAC. Correct answer(s): B.
363	This question tests understanding of SIEM. Correct answer(s): A, B.
364	This question tests understanding of confidentiality. Correct answer(s): D.
365	This question tests understanding of log analysis. Correct answer(s): B, C.
366	This question tests understanding of phishing. Correct answer(s): A, C.
367	This question tests understanding of phishing. Correct answer(s): B, C.
368	This question tests understanding of access control models. Correct answer(s): A.
369	This question tests understanding of RBAC. Correct answer(s): A, D.
370	This question tests understanding of SIEM. Correct answer(s): C.
371	This question tests understanding of penetration testing. Correct answer(s): B.
372	This question tests understanding of penetration testing. Correct answer(s): A.
373	This question tests understanding of malware. Correct answer(s): A, B.
374	This question tests understanding of encryption. Correct answer(s): B.
375	This question tests understanding of access control models. Correct answer(s): C.
376	This question tests understanding of ransomware. Correct answer(s): A.
377	This question tests understanding of confidentiality. Correct answer(s): D.
378	This question tests understanding of IDS/IPS. Correct answer(s): B, D.
379	This question tests understanding of penetration testing. Correct answer(s): A, D.
380	This question tests understanding of confidentiality. Correct answer(s): C.
381	This question tests understanding of ransomware. Correct answer(s): B.
382	This question tests understanding of TLS. Correct answer(s): C.
383	This question tests understanding of PKI. Correct answer(s): C.
384	This question tests understanding of risk mitigation. Correct answer(s): A.
385	This question tests understanding of SIEM. Correct answer(s): D.
386	This question tests understanding of SIEM. Correct answer(s): C.
387	This question tests understanding of availability. Correct answer(s): D.
388	This question tests understanding of TLS. Correct answer(s): A, D.
389	This question tests understanding of RBAC. Correct answer(s): A.
390	This question tests understanding of RBAC. Correct answer(s): D.
391	This question tests understanding of DAC. Correct answer(s): A, C.
392	This question tests understanding of availability. Correct answer(s): C.
393	This question tests understanding of malware. Correct answer(s): D.
394	This question tests understanding of RBAC. Correct answer(s): C.
395	This question tests understanding of DAC. Correct answer(s): C.
396	This question tests understanding of TLS. Correct answer(s): A, C.
397	This question tests understanding of social engineering. Correct answer(s): C.
398	This question tests understanding of vulnerability scanning. Correct answer(s): C.
399	This question tests understanding of penetration testing. Correct answer(s): C.
400	This question tests understanding of TLS. Correct answer(s): A.
401	This question tests understanding of confidentiality. Correct answer(s): A, B.
402	This question tests understanding of multi-factor authentication. Correct answer(s): C.
403	This question tests understanding of vulnerability scanning. Correct answer(s): A.
404	This question tests understanding of log analysis. Correct answer(s): B, D.
405	This question tests understanding of SIEM. Correct answer(s): C.
406	This question tests understanding of firewalls. Correct answer(s): B.
407	This question tests understanding of vulnerability scanning. Correct answer(s): B.
408	This question tests understanding of integrity. Correct answer(s): B, C.
409	This question tests understanding of social engineering. Correct answer(s): D.
410	This question tests understanding of phishing. Correct answer(s): C.
411	This question tests understanding of log analysis. Correct answer(s): A.
412	This question tests understanding of VPN. Correct answer(s): B.
413	This question tests understanding of ransomware. Correct answer(s): B.
414	This question tests understanding of phishing. Correct answer(s): C.
415	This question tests understanding of DAC. Correct answer(s): A, D.
416	This question tests understanding of integrity. Correct answer(s): A, B.
417	This question tests understanding of MAC. Correct answer(s): C.
418	This question tests understanding of availability. Correct answer(s): B, D.
419	This question tests understanding of access control models. Correct answer(s): A, D.
420	This question tests understanding of encryption. Correct answer(s): C.
421	This question tests understanding of encryption. Correct answer(s): A.
422	This question tests understanding of RBAC. Correct answer(s): A, B.
423	This question tests understanding of firewalls. Correct answer(s): A.
424	This question tests understanding of phishing. Correct answer(s): C.
425	This question tests understanding of VPN. Correct answer(s): A, C.
426	This question tests understanding of DAC. Correct answer(s): A, D.
427	This question tests understanding of social engineering. Correct answer(s): B.
428	This question tests understanding of confidentiality. Correct answer(s): A.
429	This question tests understanding of penetration testing. Correct answer(s): C.
430	This question tests understanding of confidentiality. Correct answer(s): A, C.
431	This question tests understanding of penetration testing. Correct answer(s): A.
432	This question tests understanding of IDS/IPS. Correct answer(s): B.
433	This question tests understanding of TLS. Correct answer(s): C, D.
434	This question tests understanding of firewalls. Correct answer(s): B.
435	This question tests understanding of firewalls. Correct answer(s): C.
436	This question tests understanding of log analysis. Correct answer(s): D.
437	This question tests understanding of penetration testing. Correct answer(s): A, B.
438	This question tests understanding of TLS. Correct answer(s): C.
439	This question tests understanding of malware. Correct answer(s): C.
440	This question tests understanding of risk mitigation. Correct answer(s): A.
441	This question tests understanding of DAC. Correct answer(s): C, D.
442	This question tests understanding of encryption. Correct answer(s): D.
443	This question tests understanding of vulnerability scanning. Correct answer(s): A.
444	This question tests understanding of ransomware. Correct answer(s): A, C.
445	This question tests understanding of RBAC. Correct answer(s): A, D.
446	This question tests understanding of ransomware. Correct answer(s): C.
447	This question tests understanding of availability. Correct answer(s): C.
448	This question tests understanding of penetration testing. Correct answer(s): A.
449	This question tests understanding of DAC. Correct answer(s): B.
450	This question tests understanding of integrity. Correct answer(s): A, D.
451	This question tests understanding of availability. Correct answer(s): B, C.
452	This question tests understanding of confidentiality. Correct answer(s): A.
453	This question tests understanding of phishing. Correct answer(s): B, C.
454	This question tests understanding of phishing. Correct answer(s): A.
455	This question tests understanding of encryption. Correct answer(s): A, C.
456	This question tests understanding of DAC. Correct answer(s): B.
457	This question tests understanding of phishing. Correct answer(s): C, D.
458	This question tests understanding of TLS. Correct answer(s): D.
459	This question tests understanding of MAC. Correct answer(s): B, D.
460	This question tests understanding of MAC. Correct answer(s): B.
461	This question tests understanding of firewalls. Correct answer(s): A, C.
462	This question tests understanding of access control models. Correct answer(s): B, C.
463	This question tests understanding of integrity. Correct answer(s): D.
464	This question tests understanding of RBAC. Correct answer(s): C.
465	This question tests understanding of VPN. Correct answer(s): D.
466	This question tests understanding of IDS/IPS. Correct answer(s): A, B.
467	This question tests understanding of encryption. Correct answer(s): D.
468	This question tests understanding of penetration testing. Correct answer(s): A.
469	This question tests understanding of risk mitigation. Correct answer(s): C, D.
470	This question tests understanding of multi-factor authentication. Correct answer(s): A.
471	This question tests understanding of PKI. Correct answer(s): C.
472	This question tests understanding of integrity. Correct answer(s): B.
473	This question tests understanding of VPN. Correct answer(s): A.
474	This question tests understanding of malware. Correct answer(s): B.
475	This question tests understanding of PKI. Correct answer(s): A.
476	This question tests understanding of confidentiality. Correct answer(s): D.
477	This question tests understanding of availability. Correct answer(s): D.
478	This question tests understanding of phishing. Correct answer(s): D.
479	This question tests understanding of penetration testing. Correct answer(s): B, D.
480	This question tests understanding of DAC. Correct answer(s): B.
481	This question tests understanding of availability. Correct answer(s): A.
482	This question tests understanding of DAC. Correct answer(s): C.
483	This question tests understanding of multi-factor authentication. Correct answer(s): C.
484	This question tests understanding of phishing. Correct answer(s): A.
485	This question tests understanding of VPN. Correct answer(s): B.
486	This question tests understanding of access control models. Correct answer(s): A, C.
487	This question tests understanding of social engineering. Correct answer(s): A, C.
488	This question tests understanding of phishing. Correct answer(s): D.
489	This question tests understanding of RBAC. Correct answer(s): B.
490	This question tests understanding of vulnerability scanning. Correct answer(s): A, C.
491	This question tests understanding of ransomware. Correct answer(s): D.
492	This question tests understanding of IDS/IPS. Correct answer(s): B, D.
493	This question tests understanding of multi-factor authentication. Correct answer(s): A, B.
494	This question tests understanding of social engineering. Correct answer(s): B.
495	This question tests understanding of log analysis. Correct answer(s): D.
496	This question tests understanding of availability. Correct answer(s): B.
497	This question tests understanding of firewalls. Correct answer(s): B, C.
498	This question tests understanding of malware. Correct answer(s): B.
499	This question tests understanding of log analysis. Correct answer(s): A, C.
500	This question tests understanding of access control models. Correct answer(s): B, D.
501	This question tests understanding of integrity. Correct answer(s): C, D.
502	This question tests understanding of IDS/IPS. Correct answer(s): C.
503	This question tests understanding of vulnerability scanning. Correct answer(s): A, C.
504	This question tests understanding of ransomware. Correct answer(s): B, D.
505	This question tests understanding of availability. Correct answer(s): D.
506	This question tests understanding of availability. Correct answer(s): A.
507	This question tests understanding of TLS. Correct answer(s): B.
508	This question tests understanding of encryption. Correct answer(s): A.
509	This question tests understanding of malware. Correct answer(s): D.
510	This question tests understanding of risk mitigation. Correct answer(s): B.
511	This question tests understanding of PKI. Correct answer(s): B.
512	This question tests understanding of TLS. Correct answer(s): A, C.
513	This question tests understanding of availability. Correct answer(s): C.
514	This question tests understanding of log analysis. Correct answer(s): B.
515	This question tests understanding of social engineering. Correct answer(s): A.
516	This question tests understanding of IDS/IPS. Correct answer(s): D.
517	This question tests understanding of RBAC. Correct answer(s): A.
518	This question tests understanding of social engineering. Correct answer(s): B.
519	This question tests understanding of access control models. Correct answer(s): A, B.
520	This question tests understanding of availability. Correct answer(s): A.
521	This question tests understanding of social engineering. Correct answer(s): D.
522	This question tests understanding of integrity. Correct answer(s): B.
523	This question tests understanding of IDS/IPS. Correct answer(s): A.
